"","Opponent","Section","Day_and_Time","Face","Wtp","lower_bound","upper_bound","Net"
"118","Alcorn State","216L","Saturday Afternoon",30,16.7710167166634,7.87878358431107,35.6992927525877,-13.2289832833366
"119","Alcorn State","216U","Saturday Afternoon",15,12.7647208552682,6.05375350290741,26.9152185391536,-2.23527914473178
"120","Alcorn State","217L","Saturday Afternoon",30,14.0859355484614,6.63647453941494,29.897437125239,-15.9140644515386
"121","Alcorn State","217U","Saturday Afternoon",15,13.0496869689169,6.19002255948682,27.5111000566107,-1.95031303108312
"122","Alcorn State","218","Saturday Afternoon",30,15.3063184932114,7.25786589086188,32.2799276452055,-14.6936815067886
"123","Alcorn State","219L","Saturday Afternoon",30,13.0040363267063,6.15940657187074,27.4547488971711,-16.9959636732937
"124","Alcorn State","219U","Saturday Afternoon",15,11.879568969023,5.63197539384154,25.0576660977766,-3.12043103097697
"125","Alcorn State","224L","Saturday Afternoon",45,26.4307887663596,12.5345072443751,55.7330720061146,-18.5692112336404
"126","Alcorn State","224U","Saturday Afternoon",45,16.8847139397713,8.00638147080304,35.6082914444637,-28.1152860602287
"127","Alcorn State","226L","Saturday Afternoon",45,21.8334825916589,10.3505445668911,46.055640744268,-23.1665174083411
"128","Alcorn State","226U","Saturday Afternoon",45,17.4965075591598,8.29653607691829,36.8982637970335,-27.5034924408402
"129","Alcorn State","CL1","Saturday Afternoon",45,54.2078666497783,25.6901707240434,114.381988282001,9.20786664977832
"130","Alcorn State","CL2","Saturday Afternoon",45,60.9358112754184,28.897550866542,128.494387394351,15.9358112754184
"131","Alcorn State","CL3","Saturday Afternoon",45,60.6452973637967,28.7495663330757,127.92721983121,15.6452973637967
"132","Alcorn State","CL4","Saturday Afternoon",45,49.7881103321158,23.5976362340588,105.046789680789,4.78811033211577
"133","Alcorn State","101","Saturday Night",30,19.5211788052508,9.25976228564557,41.1540178020895,-10.4788211947492
"134","Alcorn State","102","Saturday Night",35,25.3367673485347,12.0178794203568,53.416393792934,-9.6632326514653
"135","Alcorn State","103","Saturday Night",45,30.4324872345732,14.4338246135438,64.1643018450865,-14.5675127654268
"136","Alcorn State","104","Saturday Night",45,36.7871657671189,17.448357300691,77.5600557608877,-8.21283423288109
"137","Alcorn State","105","Saturday Night",45,49.8854083024767,23.6590775017443,105.183896596194,4.88540830247668
"138","Alcorn State","106","Saturday Night",45,55.6233804917621,26.3668942953075,117.342619979402,10.6233804917621
"139","Alcorn State","107","Saturday Night",45,51.7503710872461,24.5440164127331,109.114207822902,6.75037108724609
"140","Alcorn State","108","Saturday Night",45,41.7035252248157,19.7805749315916,87.9238354896946,-3.29647477518433
"141","Alcorn State","109","Saturday Night",45,32.6423468825242,15.4796128971021,68.8339441743086,-12.3576531174758
"142","Alcorn State","110","Saturday Night",35,24.0461814820721,11.3837399543857,50.7933988465699,-10.9538185179279
"143","Alcorn State","111","Saturday Night",30,22.9612304419431,10.8922678480706,48.4029690383898,-7.03876955805694
"144","Alcorn State","121","Saturday Night",30,23.9013599119669,11.3357638436283,50.3958104210582,-6.0986400880331
"145","Alcorn State","122","Saturday Night",35,25.776899298438,12.2234817910923,54.3583693089824,-9.22310070156195
"146","Alcorn State","123","Saturday Night",35,31.4724839723499,14.9274111774801,66.3555947922265,-3.52751602765008
"147","Alcorn State","124","Saturday Night",45,39.5278505688458,18.7394936249932,83.3774381453473,-5.47214943115419
"148","Alcorn State","127","Saturday Night",45,43.937187585919,20.8390423811455,92.6374838945032,-1.06281241408099
"149","Alcorn State","128","Saturday Night",35,31.7280535120674,15.0520088578305,66.8794038837489,-3.27194648793265
"150","Alcorn State","129","Saturday Night",35,26.6667145242504,12.6507313600382,56.2112689993698,-8.33328547574958
"151","Alcorn State","130","Saturday Night",30,22.1550474296441,10.4525574028925,46.9594289407059,-7.84495257035594
"152","Alcorn State","131","Saturday Night",30,18.6925788029666,8.84187750491195,39.5179080586681,-11.3074211970334
"153","Alcorn State","132","Saturday Night",30,19.8149574145913,9.39856545527091,41.7757943178306,-10.1850425854087
"154","Alcorn State","201","Saturday Night",15,16.80884500456,7.97053074878855,35.4477360783363,1.80884500455998
"155","Alcorn State","202","Saturday Night",15,19.1149479201173,9.06591066650086,40.3027613473962,4.11494792011733
"156","Alcorn State","207","Saturday Night",15,20.4854583681286,9.71409314773507,43.2005333045605,5.48545836812865
"157","Alcorn State","208","Saturday Night",15,17.4731603208409,8.28221957962861,36.8634674150355,2.47316032084087
"158","Alcorn State","221","Saturday Night",15,17.1402438587282,8.12618757183754,36.1532338429933,2.14024385872818
"159","Alcorn State","222","Saturday Night",15,20.5984408315732,9.76961041135442,43.4301621893437,5.59844083157324
"160","Alcorn State","223","Saturday Night",35,23.5071317598946,11.1455421259898,49.5790368319991,-11.4928682401054
"161","Alcorn State","225","Saturday Night",45,28.3324238911003,13.4331044740131,59.75731411141,-16.6675761088997
"162","Alcorn State","227","Saturday Night",35,23.2031477687027,11.0043900102622,48.9246624187417,-11.7968522312973
"163","Alcorn State","228","Saturday Night",15,18.5615440985467,8.80525167469726,39.1278900422958,3.56154409854673
"164","Alcorn State","229","Saturday Night",15,17.8010606832106,8.43032984699104,37.5878248180819,2.8010606832106
"165","Alcorn State","203L","Saturday Night",35,22.9914098539489,10.8840892026455,48.5667580658723,-12.0085901460511
"166","Alcorn State","203U","Saturday Night",35,22.4872769474472,10.6556448562573,47.456313656535,-12.5127230525528
"167","Alcorn State","204L","Saturday Night",45,27.5401029607762,13.0204628309556,58.2511759326217,-17.4598970392238
"168","Alcorn State","204U","Saturday Night",45,20.683728908373,9.80730662678459,43.6222357305175,-24.316271091627
"169","Alcorn State","205L","Saturday Night",45,25.6004090333475,12.0951748679309,54.1853218188992,-19.3995909666525
"170","Alcorn State","205U","Saturday Night",45,19.0364174586296,9.02446755931572,40.1558526613727,-25.9635825413704
"171","Alcorn State","206L","Saturday Night",35,24.8890949139555,11.7848322092795,52.5647743332409,-10.1109050860445
"172","Alcorn State","206U","Saturday Night",35,20.1845798139542,9.56730266472967,42.5843392378347,-14.8154201860458
"173","Alcorn State","210L","Saturday Night",30,18.0195084112588,8.40146806239438,38.6483268128842,-11.9804915887412
"174","Alcorn State","210U","Saturday Night",15,15.3478239735022,7.2795835916404,32.3584031636251,0.347823973502241
"175","Alcorn State","211L","Saturday Night",30,20.6860764127956,9.77506188825408,43.7760663050338,-9.31392358720437
"176","Alcorn State","211U","Saturday Night",15,16.0638571515231,7.61632247775013,33.8808535665846,1.06385715152307
