Opponent,id,Day,Time,prediction,lower_bound,upper_bound
Clemson,102,Saturday,Noon,42.86467347,22.93002939,80.12986816
Clemson,222,Saturday,Noon,32.65041843,17.46471761,61.04019814
Clemson,104,Saturday,Noon,65.0835486,34.81762034,121.6587537
Clemson,CL1,Saturday,Noon,124.7281905,66.64253341,233.441328
Clemson,214,Saturday,Noon,27.75322971,14.84416015,51.88853742
Clemson,107,Saturday,Noon,93.03605384,49.76482258,173.932245
Clemson,223,Saturday,Noon,35.76605888,19.12463216,66.88813449
Clemson,201,Saturday,Noon,25.48013311,13.62721806,47.64267957
Clemson,CL4,Saturday,Noon,114.7683521,61.3260222,214.782798
Clemson,207,Saturday,Noon,31.30892936,16.74336869,58.54550991
Clemson,206U,Saturday,Noon,29.7052479,15.87643493,55.57933859
Clemson,225,Saturday,Noon,49.55405705,26.49732029,92.67369464
Clemson,106,Saturday,Noon,102.1352363,54.59542331,191.0710801
Clemson,224L,Saturday,Noon,59.24283557,31.6834677,110.7742877
Clemson,218,Saturday,Noon,30.45026963,16.28096753,56.95109452
Clemson,204U,Saturday,Noon,37.96311426,20.29862976,70.99977002
Clemson,208,Saturday,Noon,27.26317485,14.56993798,51.01467855
Clemson,224U,Saturday,Noon,32.06692738,17.14680849,59.96963414
Clemson,206L,Saturday,Noon,40.36443995,21.54342935,75.6280714
Clemson,130,Saturday,Noon,33.49994763,17.81586772,62.99140229
Clemson,229,Saturday,Noon,26.64147993,14.23022932,49.87751333
Clemson,203L,Saturday,Noon,39.08532648,20.84576647,73.28407654
Clemson,203U,Saturday,Noon,34.16818497,18.25248152,63.96198034
Clemson,204L,Saturday,Noon,44.51903143,23.709052,83.59440774
Clemson,226U,Saturday,Noon,32.56375029,17.41386223,60.89389127
Clemson,110,Saturday,Noon,41.55558118,22.16990922,77.89234996
Clemson,131,Saturday,Noon,34.26110996,18.28575638,64.1933334
Clemson,205U,Saturday,Noon,32.83458334,17.55435447,61.41552315
Clemson,205L,Saturday,Noon,46.91674326,24.95657035,88.2004525
Clemson,TT3,Saturday,Noon,75.28833831,31.05739322,182.5115793
Clemson,TT1,Saturday,Noon,329.0439488,135.7193506,797.7485874
Clemson,128,Saturday,Afternoon,65.86157955,35.22893927,123.1302376
Clemson,123,Saturday,Afternoon,66.45557982,35.53480419,124.2822126
Clemson,111,Saturday,Afternoon,45.67903148,24.43127491,85.40585479
Clemson,228,Saturday,Afternoon,37.98611451,20.3163395,71.02386213
Clemson,109,Saturday,Afternoon,68.58196629,36.66526349,128.2818028
Clemson,217,Saturday,Afternoon,32.44496471,17.35197926,60.66603236
Clemson,CL2,Saturday,Afternoon,159.6961505,85.37297378,298.7228786
Clemson,108,Saturday,Afternoon,87.88822255,46.99994213,164.3478548
Clemson,129,Saturday,Afternoon,55.68245594,29.78390082,104.1010685
Clemson,211,Saturday,Afternoon,31.52832466,16.85295703,58.9828393
Clemson,127,Saturday,Afternoon,93.28360549,49.87971612,174.4563067
Clemson,122,Saturday,Afternoon,53.4808741,28.58936116,100.0443444
Clemson,210,Saturday,Afternoon,30.7893253,16.46456255,57.57714783
Clemson,216,Saturday,Afternoon,30.54370976,16.33122279,57.12482264
Clemson,215,Saturday,Afternoon,37.47284741,20.03561992,70.08589198
Clemson,121,Saturday,Afternoon,46.98944709,25.12486476,87.88139396
Clemson,213,Saturday,Afternoon,31.02318887,16.59003067,58.01304813
Clemson,212,Saturday,Afternoon,30.60159885,16.36244414,57.23214969
Clemson,101,Saturday,Afternoon,39.22222933,20.97578565,73.34091316
