	Opponent	Section	Day	Time	prediction	lower_bound	upper_bound
201	Alcorn State	226L	Thursday	Night	31.7765339144681	16.8400992090892	59.9609358044842
202	Alcorn State	CL3	Thursday	Night	101.875786628912	54.0310287734243	192.087327168652
203	Alcorn State	132	Thursday	Night	29.2670501999873	15.5743518281717	54.9981300575981
204	Alcorn State	124	Thursday	Night	55.6451930366171	29.4344724667413	105.195957277001
205	Alcorn State	202	Thursday	Night	21.6643887802746	11.49791299221	40.8200811348006
206	Alcorn State	105	Thursday	Night	66.2185260930459	35.2533648102638	124.382260290194
207	Alcorn State	219	Thursday	Night	11.368600692078	6.04166488659685	21.3922956870118
208	Alcorn State	227	Thursday	Night	29.8547070817986	15.7881941021288	56.4537989066029
209	Alcorn State	221	Thursday	Night	20.4572179510083	10.8582844101538	38.5417944941382
210	Alcorn State	102	Thursday	Night	35.9224331117079	19.1304611561074	67.4537424965922
211	Alcorn State	222	Thursday	Night	22.8436355195718	12.1448902116642	42.9671799955726
212	Alcorn State	104	Thursday	Night	58.0812748024923	30.8877365009852	109.215982290415
213	Alcorn State	CL1	Thursday	Night	87.2194094559571	46.2158665303816	164.60202863112
214	Alcorn State	214	Thursday	Night	17.4585698015429	9.29508990293988	32.7916849323793
215	Alcorn State	107	Thursday	Night	75.2037831013076	40.0328422763153	141.274230635744
216	Alcorn State	223	Thursday	Night	36.2046661806392	19.1248639821166	68.537891536233
217	Alcorn State	201	Thursday	Night	19.3944038837261	10.2462904854159	36.7101540348163
218	Alcorn State	CL4	Thursday	Night	73.1091013404862	38.7503577682272	137.932680022789
219	Alcorn State	207	Thursday	Night	27.0428269896983	14.3421186264682	50.9906876829985
220	Alcorn State	206U	Thursday	Night	24.619309824827	12.7540606935106	47.5229364840032
221	Alcorn State	225	Thursday	Night	37.1228301037344	19.5980291143701	70.3185257491147
222	Alcorn State	106	Thursday	Night	80.9734405035709	42.9013454292925	152.831991663098
223	Alcorn State	224L	Thursday	Night	37.382675957776	19.8808118357915	70.2921225403998
